"time","Region","fitted"
91,"HSE Dublin and South East",3.30669721626406
91,"HSE Mid West",6.64431636406477
91,"HSE South West",4.62634327028549
91,"HSE West and North West",5.63870200821185
92,"HSE Dublin and Midlands",3.32693656813418
92,"HSE Dublin and North East",2.23695978220055
92,"HSE Dublin and South East",3.22943152183291
92,"HSE Mid West",7.11795222731725
92,"HSE South West",4.63404712382281
92,"HSE West and North West",6.46915692950685
93,"HSE Dublin and Midlands",3.37824466762866
93,"HSE Dublin and North East",2.64814914930863
93,"HSE Dublin and South East",3.08394000245232
93,"HSE Mid West",7.70556994603152
93,"HSE South West",4.38291926820342
93,"HSE West and North West",6.71834223051385
94,"HSE Dublin and Midlands",3.80517428253944
94,"HSE Dublin and North East",3.03682343283234
94,"HSE Dublin and South East",3.48168296918848
94,"HSE Mid West",8.87077484115498
94,"HSE South West",5.1471685499233
94,"HSE West and North West",6.56856820797738
95,"HSE Dublin and Midlands",4.08634627053685
95,"HSE Dublin and North East",2.52371215746893
95,"HSE Dublin and South East",3.34116180973969
95,"HSE Mid West",8.45568693481111
95,"HSE South West",4.18037807506739
95,"HSE West and North West",6.12390906266551
96,"HSE Dublin and Midlands",3.45528876211755
96,"HSE Dublin and North East",2.62120897479801
96,"HSE Dublin and South East",3.39624680341433
96,"HSE Mid West",7.99480847369425
96,"HSE South West",3.70177661487027
96,"HSE West and North West",5.82739918796123
97,"HSE Dublin and Midlands",3.46146905738226
97,"HSE Dublin and North East",2.51681571967262
97,"HSE Dublin and South East",2.7354555811729
97,"HSE Mid West",7.04053518591625
97,"HSE South West",3.54141934455497
97,"HSE West and North West",5.58319292118925
98,"HSE Dublin and Midlands",3.41192702744215
98,"HSE Dublin and North East",2.76630656702864
98,"HSE Dublin and South East",2.6366358362068
98,"HSE Mid West",8.62984751703144
98,"HSE South West",3.71661452129084
98,"HSE West and North West",5.26936778316854
99,"HSE Dublin and Midlands",3.69816329932153
99,"HSE Dublin and North East",2.98551070767989
99,"HSE Dublin and South East",3.44619664637861
99,"HSE Mid West",9.90142445056074
99,"HSE South West",4.96682766482413
99,"HSE West and North West",6.31978486787733
100,"HSE Dublin and Midlands",4.00098148139635
100,"HSE Dublin and North East",2.65124384045121
100,"HSE Dublin and South East",3.07651850532373
100,"HSE Mid West",9.04889186669346
100,"HSE South West",3.91287448457232
100,"HSE West and North West",6.5091795738439
101,"HSE Dublin and Midlands",3.85416703215449
101,"HSE Dublin and North East",3.11475172890651
101,"HSE Dublin and South East",3.25430520865239
101,"HSE Mid West",9.18906751849993
101,"HSE South West",4.06688150151736
101,"HSE West and North West",6.26320948146208
102,"HSE Dublin and Midlands",4.5744530926924
102,"HSE Dublin and North East",3.67495385501184
102,"HSE Dublin and South East",4.04053537546356
102,"HSE Mid West",8.4675728725811
102,"HSE South West",5.15218971573469
102,"HSE West and North West",6.0336182364853
103,"HSE Dublin and Midlands",4.34166853641778
103,"HSE Dublin and North East",3.52514189072094
103,"HSE Dublin and South East",4.03443772398935
103,"HSE Mid West",9.53762977750553
103,"HSE South West",4.69913369881501
103,"HSE West and North West",5.88973719183672
104,"HSE Dublin and Midlands",3.02524968287316
104,"HSE Dublin and North East",2.25678963887641
104,"HSE Dublin and South East",2.36544973176087
104,"HSE Mid West",7.24054277068874
104,"HSE South West",2.73973140231334
104,"HSE West and North West",3.91346312536024
105,"HSE Dublin and Midlands",2.02818597697134
105,"HSE Dublin and North East",1.32515318398064
105,"HSE Dublin and South East",0.804414744463225
105,"HSE Mid West",4.89083243719163
105,"HSE South West",1.92999193210164
105,"HSE West and North West",2.21395083340926
106,"HSE Dublin and Midlands",5.20343393513228
106,"HSE Dublin and North East",3.20082058848379
106,"HSE Dublin and South East",3.89899727092339
106,"HSE Mid West",9.77407445238973
106,"HSE South West",6.20787141044576
106,"HSE West and North West",8.82567512360555
107,"HSE Dublin and Midlands",4.32676035106789
107,"HSE Dublin and North East",2.36802694821654
107,"HSE Dublin and South East",3.53102913237984
107,"HSE Mid West",9.71427663947223
107,"HSE South West",5.0063040832582
107,"HSE West and North West",5.97835393468944
108,"HSE Dublin and Midlands",5.29419709794725
108,"HSE Dublin and North East",3.16252042526174
108,"HSE Dublin and South East",3.54636702954973
108,"HSE Mid West",10.5832898155493
108,"HSE South West",6.6264741583525
108,"HSE West and North West",7.58022526096409
109,"HSE Dublin and Midlands",4.6354695879368
109,"HSE Dublin and North East",3.13949625046492
109,"HSE Dublin and South East",3.65406364989856
109,"HSE Mid West",10.201460023093
109,"HSE South West",6.44598389667965
109,"HSE West and North West",7.73025382977831
110,"HSE Dublin and Midlands",4.05119891712079
110,"HSE Dublin and North East",3.32420738225894
110,"HSE Dublin and South East",4.55399720057359
110,"HSE Mid West",8.47648263204166
110,"HSE South West",6.07378934090855
110,"HSE West and North West",7.89567389014967
111,"HSE Dublin and Midlands",4.58298180284797
111,"HSE Dublin and North East",3.68907021982572
111,"HSE Dublin and South East",3.7443706964237
111,"HSE Mid West",9.14847222450891
111,"HSE South West",5.93816518731361
111,"HSE West and North West",8.65881326785329
112,"HSE Dublin and Midlands",4.31322209576194
112,"HSE Dublin and North East",3.95626135491407
112,"HSE Dublin and South East",3.97911368771255
112,"HSE Mid West",8.9723378002542
112,"HSE South West",4.9697359939257
112,"HSE West and North West",8.73335181485657
113,"HSE Dublin and Midlands",4.6083884292823
113,"HSE Dublin and North East",3.45866394082001
113,"HSE Dublin and South East",2.81090460288116
113,"HSE Mid West",8.47533841605284
113,"HSE South West",4.47055530883368
113,"HSE West and North West",7.05028615160108
114,"HSE Dublin and Midlands",4.61097424761752
