"week_start","hospital","region","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week"
2023-02-06,St. Vincent's University Hospital,HSE Dublin and South East,103,0,103,123,282,13,0,7
2023-02-06,Tipperary University Hospital,HSE Dublin and South East,106,0,106,116,65,42,0,7
2023-02-06,UH Waterford,HSE Dublin and South East,0,0,0,379,227,0,0,7
2023-02-06,Wexford General Hospital,HSE Dublin and South East,73,46,119,161,50,35,0,7
2023-02-06,UH Limerick,HSE Mid West,96,170,266,282,123,26,0,7
2023-02-06,Cork University Hospital,HSE South West,131,14,145,136,370,6,0,7
2023-02-06,Mercy University Hospital,HSE South West,89,0,89,51,148,17,0,7
2023-02-06,UH Kerry,HSE South West,47,1,48,47,68,3,0,7
2023-02-06,Galway University Hospital,HSE West and North West,93,31,124,84,150,13,0,7
2023-02-06,Letterkenny University Hospital,HSE West and North West,49,20,69,14,93,17,0,7
2023-02-06,Mayo University Hospital,HSE West and North West,36,36,72,15,94,26,0,7
2023-02-06,Portiuncula University Hospital,HSE West and North West,57,0,57,42,48,19,0,7
2023-02-06,Sligo University Hospital,HSE West and North West,41,70,111,61,73,53,0,7
2023-02-13,CHI at Crumlin,HSE Dublin and Midlands,64,0,64,0,14,1,0,7
2023-02-13,CHI at Tallaght,HSE Dublin and Midlands,19,0,19,2,4,0,0,7
2023-02-13,CHI at Temple Street,HSE Dublin and Midlands,42,0,42,0,18,2,0,7
2023-02-13,MRH Mullingar,HSE Dublin and Midlands,56,0,56,0,2,9,0,7
2023-02-13,MRH Portlaoise,HSE Dublin and Midlands,24,0,24,0,60,1,0,7
2023-02-13,MRH Tullamore,HSE Dublin and Midlands,0,0,0,34,40,0,0,7
2023-02-13,Naas General Hospital,HSE Dublin and Midlands,66,21,87,30,96,6,0,7
2023-02-13,St. James's Hospital,HSE Dublin and Midlands,116,0,116,0,420,3,0,7
2023-02-13,Tallaght University Hospital,HSE Dublin and Midlands,199,0,199,73,305,91,0,7
2023-02-13,Beaumont Hospital,HSE Dublin and North East,21,0,21,31,86,0,0,7
2023-02-13,Cavan General Hospital,HSE Dublin and North East,36,0,36,43,21,1,0,7
2023-02-13,Connolly Hospital,HSE Dublin and North East,2,0,2,128,56,0,0,7
2023-02-13,Mater Misericordiae University Hospital,HSE Dublin and North East,237,0,237,0,282,42,0,7
2023-02-13,Our Lady of Lourdes Hospital,HSE Dublin and North East,91,8,99,119,165,0,0,7
