Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
21/08/2024,Ennis Hospital,,,,,3,,
21/08/2024,Nenagh Hospital,,,,,0,,
21/08/2024,St. John's Hospital Limerick,,,,,3,,
21/08/2024,UH Limerick,0,0,0,22,15,,
21/08/2024,HSE Mid West Total,0,0,0,22,21,0,0
21/08/2024,Galway University Hospital,4,10,14,20,32,2,
21/08/2024,Letterkenny University Hospital,4,4,8,0,31,2,
21/08/2024,Mayo University Hospital,4,11,15,0,7,4,
21/08/2024,Portiuncula University Hospital,3,0,3,3,4,,
21/08/2024,Roscommon University Hospital,,,,,3,,
21/08/2024,Sligo University Hospital,6,12,18,14,32,7,
21/08/2024,HSE West and North West Total,21,37,58,37,109,15,0
21/08/2024,National Total,161,50,211,278,414,28,0
22/08/2024,Beaumont Hospital,16,0,16,9,18,,
22/08/2024,Cavan General Hospital,0,0,0,8,1,,
22/08/2024,Connolly Hospital,0,0,0,0,9,,
22/08/2024,Louth County Hospital,,,,,0,,
22/08/2024,Mater Misericordiae University Hospital,14,0,14,0,15,1,
22/08/2024,National Orthopaedic Hospital Cappagh,,,,,0,,
22/08/2024,Our Lady of Lourdes Hospital,14,0,14,20,0,,
22/08/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
22/08/2024,HSE Dublin and North East Total,44,0,44,37,43,1,0
22/08/2024,CHI at Crumlin,0,,0,0,3,,
22/08/2024,CHI at Tallaght,0,0,0,0,1,,
22/08/2024,CHI at Temple Street,0,0,0,0,5,,
22/08/2024,MRH Mullingar,3,0,3,0,1,,
22/08/2024,MRH Portlaoise,4,0,4,0,5,,
22/08/2024,MRH Tullamore,0,0,0,21,10,,
22/08/2024,Naas General Hospital,0,0,0,4,8,,
22/08/2024,St. James's Hospital,2,0,2,0,25,1,
22/08/2024,St. Luke's Radiation Oncology Network,,,,,0,,
22/08/2024,Tallaght University Hospital,25,8,33,20,18,14,
22/08/2024,HSE Dublin and Midlands Total,34,8,42,45,76,15,0
22/08/2024,National Rehabilitation Hospital,,,,,5,,
22/08/2024,St. Columcille's Hospital,,,,,4,,
22/08/2024,St Luke's General Hospital Kilkenny,4,0,4,34,8,,
22/08/2024,St. Michael's Hospital,,,,,3,,
22/08/2024,St. Vincent's University Hospital,26,0,26,50,27,2,
22/08/2024,Tipperary University Hospital,18,0,18,0,15,11,
22/08/2024,UH Waterford,0,0,0,7,12,,
22/08/2024,Wexford General Hospital,1,5,6,15,6,1,
22/08/2024,HSE Dublin and South East Total,49,5,54,106,80,14,0
22/08/2024,Bantry General Hospital,,,,,11,,
22/08/2024,Cork University Hospital,10,2,12,22,37,,
22/08/2024,Mallow General Hospital,,,,,2,,
22/08/2024,Mercy University Hospital,13,2,15,7,5,3,
22/08/2024,South Infirmary Victoria University Hospital,,,,,1,,
22/08/2024,UH Kerry,14,0,14,8,27,2,
22/08/2024,HSE South West Total,37,4,41,37,83,5,0
22/08/2024,Ennis Hospital,,,,,2,,
22/08/2024,Nenagh Hospital,,,,,0,,
22/08/2024,St. John's Hospital Limerick,,,,,3,,
22/08/2024,UH Limerick,0,0,0,21,14,,
22/08/2024,HSE Mid West Total,0,0,0,21,19,0,0
22/08/2024,Galway University Hospital,9,4,13,20,33,3,
22/08/2024,Letterkenny University Hospital,9,8,17,0,35,2,
22/08/2024,Mayo University Hospital,5,12,17,3,8,8,
22/08/2024,Portiuncula University Hospital,4,0,4,3,5,,
22/08/2024,Roscommon University Hospital,,,,,5,,
22/08/2024,Sligo University Hospital,6,10,16,14,32,5,
22/08/2024,HSE West and North West Total,33,34,67,40,118,18,0
22/08/2024,National Total,197,51,248,286,419,53,0
23/08/2024,Beaumont Hospital,7,0,7,8,16,,
23/08/2024,Cavan General Hospital,0,0,0,4,1,,
23/08/2024,Connolly Hospital,0,0,0,0,9,,
23/08/2024,Louth County Hospital,,,,,0,,
23/08/2024,Mater Misericordiae University Hospital,15,0,15,0,15,,
23/08/2024,National Orthopaedic Hospital Cappagh,,,,,0,,
23/08/2024,Our Lady of Lourdes Hospital,9,0,9,21,0,,
23/08/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
23/08/2024,HSE Dublin and North East Total,31,0,31,33,41,0,0
23/08/2024,CHI at Crumlin,2,0,2,0,3,,
23/08/2024,CHI at Tallaght,0,0,0,0,1,,
23/08/2024,CHI at Temple Street,3,0,3,0,5,,
23/08/2024,MRH Mullingar,1,0,1,4,1,,
23/08/2024,MRH Portlaoise,0,0,0,0,9,,
23/08/2024,MRH Tullamore,0,0,0,16,9,,
23/08/2024,Naas General Hospital,1,0,1,3,7,,
23/08/2024,St. James's Hospital,0,0,0,0,25,,
23/08/2024,St. Luke's Radiation Oncology Network,,,,,0,,
23/08/2024,Tallaght University Hospital,20,9,29,20,17,15,
23/08/2024,HSE Dublin and Midlands Total,27,9,36,43,77,15,0
23/08/2024,National Rehabilitation Hospital,,,,,5,,
23/08/2024,St. Columcille's Hospital,,,,,4,,
23/08/2024,St Luke's General Hospital Kilkenny,0,0,0,27,8,,
23/08/2024,St. Michael's Hospital,,,,,3,,
23/08/2024,St. Vincent's University Hospital,14,0,14,50,27,,
23/08/2024,Tipperary University Hospital,4,0,4,2,15,2,
23/08/2024,UH Waterford,0,0,0,0,14,,
23/08/2024,Wexford General Hospital,3,4,7,15,7,1,
23/08/2024,HSE Dublin and South East Total,21,4,25,94,83,3,0
23/08/2024,Bantry General Hospital,,,,,11,,
23/08/2024,Cork University Hospital,4,3,7,22,41,,
23/08/2024,Mallow General Hospital,,,,,2,,
23/08/2024,Mercy University Hospital,7,1,8,7,7,,
23/08/2024,South Infirmary Victoria University Hospital,,,,,1,,
23/08/2024,UH Kerry,13,0,13,8,20,,
23/08/2024,HSE South West Total,24,4,28,37,82,0,0
23/08/2024,Ennis Hospital,,,,,3,,
23/08/2024,Nenagh Hospital,,,,,1,,
23/08/2024,St. John's Hospital Limerick,,,,,3,,
23/08/2024,UH Limerick,0,0,0,16,13,,
23/08/2024,HSE Mid West Total,0,0,0,16,20,0,0
23/08/2024,Galway University Hospital,9,0,9,20,35,,
23/08/2024,Letterkenny University Hospital,7,5,12,5,36,4,
23/08/2024,Mayo University Hospital,2,8,10,0,7,4,
23/08/2024,Portiuncula University Hospital,0,0,0,0,6,,
23/08/2024,Roscommon University Hospital,,,,,3,,
23/08/2024,Sligo University Hospital,4,9,13,13,29,6,
23/08/2024,HSE West and North West Total,22,22,44,38,116,14,0
23/08/2024,National Total,125,39,164,261,419,32,0
24/08/2024,Beaumont Hospital,0,0,0,0,15,,
24/08/2024,Cavan General Hospital,4,0,4,10,1,,
24/08/2024,Connolly Hospital,0,0,0,0,9,,
24/08/2024,Louth County Hospital,,,,,0,,
24/08/2024,Mater Misericordiae University Hospital,4,0,4,0,18,,
24/08/2024,National Orthopaedic Hospital Cappagh,,,,,0,,
24/08/2024,Our Lady of Lourdes Hospital,4,0,4,12,0,,
24/08/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
24/08/2024,HSE Dublin and North East Total,12,0,12,22,43,0,0
24/08/2024,CHI at Crumlin,2,0,2,0,3,,
24/08/2024,CHI at Tallaght,0,0,0,,1,,
24/08/2024,CHI at Temple Street,0,0,0,0,5,,
24/08/2024,MRH Mullingar,1,0,1,0,1,,
24/08/2024,MRH Portlaoise,0,0,0,0,7,,
24/08/2024,MRH Tullamore,0,0,0,0,8,,
24/08/2024,Naas General Hospital,0,0,0,0,7,,
24/08/2024,St. James's Hospital,1,0,1,0,24,,
24/08/2024,St. Luke's Radiation Oncology Network,,,,,0,,
24/08/2024,Tallaght University Hospital,16,0,16,17,17,1,
24/08/2024,HSE Dublin and Midlands Total,20,0,20,17,73,1,0
24/08/2024,National Rehabilitation Hospital,,,,,5,,
24/08/2024,St. Columcille's Hospital,,,,,4,,
24/08/2024,St Luke's General Hospital Kilkenny,0,0,0,27,8,,
24/08/2024,St. Michael's Hospital,,,,,3,,
24/08/2024,St. Vincent's University Hospital,0,0,0,50,27,,
24/08/2024,Tipperary University Hospital,1,0,1,0,18,,
24/08/2024,UH Waterford,0,0,0,0,16,,
24/08/2024,Wexford General Hospital,1,0,1,11,7,,
24/08/2024,HSE Dublin and South East Total,2,0,2,88,88,0,0
24/08/2024,Bantry General Hospital,,,,,11,,
24/08/2024,Cork University Hospital,6,0,6,13,41,,
24/08/2024,Mallow General Hospital,,,,,2,,
24/08/2024,Mercy University Hospital,3,0,3,7,7,,
24/08/2024,South Infirmary Victoria University Hospital,,,,,1,,
24/08/2024,UH Kerry,11,3,14,0,23,2,
24/08/2024,HSE South West Total,20,3,23,20,85,2,0
24/08/2024,Ennis Hospital,,,,,3,,
24/08/2024,Nenagh Hospital,,,,,1,,
24/08/2024,St. John's Hospital Limerick,,,,,3,,
24/08/2024,UH Limerick,0,0,0,11,14,,
24/08/2024,HSE Mid West Total,0,0,0,11,21,0,0
24/08/2024,Galway University Hospital,0,0,0,17,35,,
24/08/2024,Letterkenny University Hospital,4,5,9,1,33,4,
24/08/2024,Mayo University Hospital,0,3,3,0,12,,
24/08/2024,Portiuncula University Hospital,3,0,3,0,7,,
24/08/2024,Roscommon University Hospital,,,,,3,,
24/08/2024,Sligo University Hospital,3,6,9,9,28,3,
24/08/2024,HSE West and North West Total,10,14,24,27,118,7,0
24/08/2024,National Total,64,17,81,185,428,10,0
25/08/2024,Beaumont Hospital,0,0,0,0,15,,
25/08/2024,Cavan General Hospital,7,0,7,8,1,,
25/08/2024,Connolly Hospital,0,0,0,0,9,,
25/08/2024,Louth County Hospital,,,,,0,,
25/08/2024,Mater Misericordiae University Hospital,6,0,6,0,18,,
25/08/2024,National Orthopaedic Hospital Cappagh,,,,,0,,
25/08/2024,Our Lady of Lourdes Hospital,14,0,14,17,0,,
25/08/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
25/08/2024,HSE Dublin and North East Total,27,0,27,25,43,0,0
25/08/2024,CHI at Crumlin,1,,1,0,3,,
25/08/2024,CHI at Tallaght,1,0,1,0,1,,
25/08/2024,CHI at Temple Street,1,0,1,0,5,,
25/08/2024,MRH Mullingar,0,0,0,0,1,,
25/08/2024,MRH Portlaoise,1,0,1,0,7,,
25/08/2024,MRH Tullamore,0,0,0,0,8,,
25/08/2024,Naas General Hospital,1,0,1,0,7,,
25/08/2024,St. James's Hospital,1,0,1,0,24,,
25/08/2024,St. Luke's Radiation Oncology Network,,,,,0,,
25/08/2024,Tallaght University Hospital,25,0,25,20,17,5,
25/08/2024,HSE Dublin and Midlands Total,31,0,31,20,73,5,0
25/08/2024,National Rehabilitation Hospital,,,,,5,,
25/08/2024,St. Columcille's Hospital,,,,,4,,
25/08/2024,St Luke's General Hospital Kilkenny,0,0,0,0,8,,
25/08/2024,St. Michael's Hospital,,,,,3,,
25/08/2024,St. Vincent's University Hospital,10,0,10,50,27,,
25/08/2024,Tipperary University Hospital,3,0,3,2,18,2,
25/08/2024,UH Waterford,0,0,0,0,16,,
25/08/2024,Wexford General Hospital,2,0,2,11,6,,
25/08/2024,HSE Dublin and South East Total,15,0,15,63,87,2,0
25/08/2024,Bantry General Hospital,,,,,11,,
25/08/2024,Cork University Hospital,8,0,8,13,41,,
25/08/2024,Mallow General Hospital,,,,,2,,
25/08/2024,Mercy University Hospital,2,0,2,7,7,1,
25/08/2024,South Infirmary Victoria University Hospital,,,,,1,,
25/08/2024,UH Kerry,14,0,14,6,23,2,
25/08/2024,HSE South West Total,24,0,24,26,85,3,0
25/08/2024,Ennis Hospital,,,,,3,,
25/08/2024,Nenagh Hospital,,,,,1,,
25/08/2024,St. John's Hospital Limerick,,,,,3,,
25/08/2024,UH Limerick,0,0,0,15,14,,1
25/08/2024,HSE Mid West Total,0,0,0,15,21,0,1
25/08/2024,Galway University Hospital,1,0,1,4,35,,1
25/08/2024,Letterkenny University Hospital,0,8,8,11,33,3,
25/08/2024,Mayo University Hospital,3,6,9,0,12,6,
25/08/2024,Portiuncula University Hospital,0,0,0,3,7,,
25/08/2024,Roscommon University Hospital,,,,,3,,
25/08/2024,Sligo University Hospital,10,6,16,11,28,4,
25/08/2024,HSE West and North West Total,14,20,34,29,118,13,1
25/08/2024,National Total,111,20,131,178,427,23,2
26/08/2024,Beaumont Hospital,24,0,24,10,15,,
26/08/2024,Cavan General Hospital,8,0,8,10,1,,
26/08/2024,Connolly Hospital,0,0,0,0,9,,
26/08/2024,Louth County Hospital,,,,,0,,
26/08/2024,Mater Misericordiae University Hospital,13,0,13,2,18,,
26/08/2024,National Orthopaedic Hospital Cappagh,,,,,0,,
26/08/2024,Our Lady of Lourdes Hospital,21,0,21,23,0,,
26/08/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
26/08/2024,HSE Dublin and North East Total,66,0,66,45,43,0,0
26/08/2024,CHI at Crumlin,0,,0,,3,,
26/08/2024,CHI at Tallaght,2,0,2,0,1,,
26/08/2024,CHI at Temple Street,4,0,4,0,5,,
26/08/2024,MRH Mullingar,1,0,1,0,1,,
26/08/2024,MRH Portlaoise,0,0,0,0,7,,
26/08/2024,MRH Tullamore,0,0,0,4,8,,
26/08/2024,Naas General Hospital,6,4,10,8,7,,
26/08/2024,St. James's Hospital,3,0,3,0,24,,
26/08/2024,St. Luke's Radiation Oncology Network,,,,,0,,
26/08/2024,Tallaght University Hospital,26,9,35,20,17,15,
26/08/2024,HSE Dublin and Midlands Total,42,13,55,32,73,15,0
26/08/2024,National Rehabilitation Hospital,,,,,5,,
26/08/2024,St. Columcille's Hospital,,,,,4,,
26/08/2024,St Luke's General Hospital Kilkenny,5,0,5,32,8,,
26/08/2024,St. Michael's Hospital,,,,,3,,
26/08/2024,St. Vincent's University Hospital,27,0,27,50,27,3,1
26/08/2024,Tipperary University Hospital,10,0,10,0,18,3,
26/08/2024,UH Waterford,0,0,0,8,16,,
26/08/2024,Wexford General Hospital,1,1,2,15,6,,
26/08/2024,HSE Dublin and South East Total,43,1,44,105,87,6,1
26/08/2024,Bantry General Hospital,,,,,11,,
26/08/2024,Cork University Hospital,13,3,16,17,41,,
26/08/2024,Mallow General Hospital,,,,,2,,
26/08/2024,Mercy University Hospital,4,0,4,7,7,,
26/08/2024,South Infirmary Victoria University Hospital,,,,,1,,
26/08/2024,UH Kerry,9,0,9,0,23,3,
26/08/2024,HSE South West Total,26,3,29,24,85,3,0
26/08/2024,Ennis Hospital,,,,,3,,
26/08/2024,Nenagh Hospital,,,,,1,,
26/08/2024,St. John's Hospital Limerick,,,,,3,,
26/08/2024,UH Limerick,0,8,8,27,14,,
26/08/2024,HSE Mid West Total,0,8,8,27,21,0,0
26/08/2024,Galway University Hospital,4,2,6,20,35,,
26/08/2024,Letterkenny University Hospital,10,6,16,15,33,5,
26/08/2024,Mayo University Hospital,4,5,9,2,12,5,
26/08/2024,Portiuncula University Hospital,2,0,2,2,7,,
26/08/2024,Roscommon University Hospital,,,,,3,,
26/08/2024,Sligo University Hospital,9,13,22,16,28,5,
26/08/2024,HSE West and North West Total,29,26,55,55,118,15,0
26/08/2024,National Total,206,51,257,288,427,39,1
27/08/2024,Beaumont Hospital,6,0,6,8,17,,
27/08/2024,Cavan General Hospital,0,0,0,9,1,,
27/08/2024,Connolly Hospital,4,0,4,0,7,,
27/08/2024,Louth County Hospital,,,,,0,,
27/08/2024,Mater Misericordiae University Hospital,18,0,18,8,20,,
27/08/2024,National Orthopaedic Hospital Cappagh,,,,,0,,
27/08/2024,Our Lady of Lourdes Hospital,19,0,19,22,0,,
27/08/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
27/08/2024,HSE Dublin and North East Total,47,0,47,47,45,0,0
27/08/2024,CHI at Crumlin,0,,0,0,5,,
27/08/2024,CHI at Tallaght,1,0,1,,0,,
27/08/2024,CHI at Temple Street,0,,0,0,5,,
27/08/2024,MRH Mullingar,2,0,2,3,1,,
27/08/2024,MRH Portlaoise,1,0,1,0,7,,
27/08/2024,MRH Tullamore,0,0,0,6,7,,
27/08/2024,Naas General Hospital,7,4,11,10,8,,
27/08/2024,St. James's Hospital,4,0,4,0,22,1,
27/08/2024,St. Luke's Radiation Oncology Network,,,,,0,,
27/08/2024,Tallaght University Hospital,20,9,29,26,16,13,
27/08/2024,HSE Dublin and Midlands Total,35,13,48,45,71,14,0
27/08/2024,National Rehabilitation Hospital,,,,,5,,
27/08/2024,St. Columcille's Hospital,,,,,4,,
27/08/2024,St Luke's General Hospital Kilkenny,6,0,6,13,7,,
27/08/2024,St. Michael's Hospital,,,,,3,,
27/08/2024,St. Vincent's University Hospital,24,0,24,50,25,2,1
27/08/2024,Tipperary University Hospital,23,0,23,0,13,6,
27/08/2024,UH Waterford,0,0,0,8,12,,
27/08/2024,Wexford General Hospital,0,2,2,11,6,,
27/08/2024,HSE Dublin and South East Total,53,2,55,82,75,8,1
27/08/2024,Bantry General Hospital,,,,,11,,
27/08/2024,Cork University Hospital,22,3,25,22,42,1,
27/08/2024,Mallow General Hospital,,,,,2,,
27/08/2024,Mercy University Hospital,12,0,12,7,6,,
27/08/2024,South Infirmary Victoria University Hospital,,,,,1,,
27/08/2024,UH Kerry,7,0,7,6,22,1,
27/08/2024,HSE South West Total,41,3,44,35,84,2,0
27/08/2024,Ennis Hospital,,,,,1,,
27/08/2024,Nenagh Hospital,,,,,2,,
27/08/2024,St. John's Hospital Limerick,,,,,3,,
27/08/2024,UH Limerick,0,17,17,33,16,,1
27/08/2024,HSE Mid West Total,0,17,17,33,22,0,1
27/08/2024,Galway University Hospital,7,2,9,20,33,,
27/08/2024,Letterkenny University Hospital,9,8,17,17,34,4,
27/08/2024,Mayo University Hospital,3,10,13,0,12,6,
27/08/2024,Portiuncula University Hospital,1,0,1,1,5,,
27/08/2024,Roscommon University Hospital,,,,,3,,
27/08/2024,Sligo University Hospital,8,16,24,15,30,7,
27/08/2024,HSE West and North West Total,28,36,64,53,117,17,0
27/08/2024,National Total,204,71,275,295,414,41,2
28/08/2024,Beaumont Hospital,7,0,7,8,16,,
28/08/2024,Cavan General Hospital,7,0,7,4,1,,
28/08/2024,Connolly Hospital,0,0,0,0,7,,
28/08/2024,Louth County Hospital,,,,,0,,
28/08/2024,Mater Misericordiae University Hospital,14,0,14,8,21,,
28/08/2024,National Orthopaedic Hospital Cappagh,,,,,0,,
28/08/2024,Our Lady of Lourdes Hospital,24,0,24,22,0,,
28/08/2024,Our Lady's Hospital Navan,2,0,2,0,0,,
28/08/2024,HSE Dublin and North East Total,54,0,54,42,45,0,0
28/08/2024,CHI at Crumlin,2,0,2,0,5,,
28/08/2024,CHI at Tallaght,0,0,0,0,0,,
28/08/2024,CHI at Temple Street,3,0,3,0,5,,
28/08/2024,MRH Mullingar,3,0,3,4,1,,
28/08/2024,MRH Portlaoise,1,0,1,0,7,,
28/08/2024,MRH Tullamore,0,0,0,0,7,,
28/08/2024,Naas General Hospital,0,1,1,1,11,,
28/08/2024,St. James's Hospital,13,0,13,0,21,,
28/08/2024,St. Luke's Radiation Oncology Network,,,,,0,,
28/08/2024,Tallaght University Hospital,17,3,20,25,16,7,
28/08/2024,HSE Dublin and Midlands Total,39,4,43,30,73,7,0
28/08/2024,National Rehabilitation Hospital,,,,,5,,
28/08/2024,St. Columcille's Hospital,,,,,4,,
28/08/2024,St Luke's General Hospital Kilkenny,0,0,0,8,7,,
28/08/2024,St. Michael's Hospital,,,,,3,,
28/08/2024,St. Vincent's University Hospital,20,0,20,50,28,1,
28/08/2024,Tipperary University Hospital,24,0,24,0,16,11,
28/08/2024,UH Waterford,0,0,0,0,12,,
28/08/2024,Wexford General Hospital,3,5,8,15,7,1,
28/08/2024,HSE Dublin and South East Total,47,5,52,73,82,13,0
28/08/2024,Bantry General Hospital,,,,,10,,
28/08/2024,Cork University Hospital,18,6,24,6,44,2,
28/08/2024,Mallow General Hospital,,,,,2,,
28/08/2024,Mercy University Hospital,15,4,19,11,7,4,
28/08/2024,South Infirmary Victoria University Hospital,,,,,1,,
28/08/2024,UH Kerry,1,0,1,0,26,1,
28/08/2024,HSE South West Total,34,10,44,17,90,7,0
28/08/2024,Ennis Hospital,,,,,2,,
28/08/2024,Nenagh Hospital,,,,,2,,
28/08/2024,St. John's Hospital Limerick,,,,,3,,
28/08/2024,UH Limerick,0,9,9,29,16,3,
28/08/2024,HSE Mid West Total,0,9,9,29,23,3,0
28/08/2024,Galway University Hospital,10,1,11,20,35,,
28/08/2024,Letterkenny University Hospital,15,6,21,16,39,6,
28/08/2024,Mayo University Hospital,2,13,15,0,10,8,
28/08/2024,Portiuncula University Hospital,4,0,4,0,6,,
28/08/2024,Roscommon University Hospital,,,,,3,,
28/08/2024,Sligo University Hospital,11,16,27,11,30,11,
28/08/2024,HSE West and North West Total,42,36,78,47,123,25,0
28/08/2024,National Total,216,64,280,238,436,55,0
29/08/2024,Beaumont Hospital,12,0,12,11,18,,
29/08/2024,Cavan General Hospital,2,0,2,6,1,,
29/08/2024,Connolly Hospital,0,0,0,0,7,,
29/08/2024,Louth County Hospital,,,,,0,,
29/08/2024,Mater Misericordiae University Hospital,13,0,13,8,20,,
29/08/2024,National Orthopaedic Hospital Cappagh,,,,,0,,
29/08/2024,Our Lady of Lourdes Hospital,20,0,20,24,0,,
29/08/2024,Our Lady's Hospital Navan,3,0,3,2,0,,
29/08/2024,HSE Dublin and North East Total,50,0,50,51,46,0,0
29/08/2024,CHI at Crumlin,0,0,0,0,5,,
29/08/2024,CHI at Tallaght,0,0,0,,0,,
29/08/2024,CHI at Temple Street,3,0,3,0,5,,
29/08/2024,MRH Mullingar,1,0,1,4,1,,
29/08/2024,MRH Portlaoise,0,0,0,0,6,,
29/08/2024,MRH Tullamore,0,0,0,0,8,,
29/08/2024,Naas General Hospital,5,0,5,3,12,,
29/08/2024,St. James's Hospital,18,0,18,10,21,,
29/08/2024,St. Luke's Radiation Oncology Network,,,,,0,,
29/08/2024,Tallaght University Hospital,29,7,36,28,15,7,1
29/08/2024,HSE Dublin and Midlands Total,56,7,63,45,73,7,1
29/08/2024,National Rehabilitation Hospital,,,,,5,,
29/08/2024,St. Columcille's Hospital,,,,,4,,
29/08/2024,St Luke's General Hospital Kilkenny,0,0,0,3,8,,
29/08/2024,St. Michael's Hospital,,,,,3,,
29/08/2024,St. Vincent's University Hospital,15,0,15,50,26,,
29/08/2024,Tipperary University Hospital,13,0,13,0,16,8,
29/08/2024,UH Waterford,0,0,0,3,12,,
29/08/2024,Wexford General Hospital,2,1,3,15,7,,
29/08/2024,HSE Dublin and South East Total,30,1,31,71,81,8,0
29/08/2024,Bantry General Hospital,,,,,10,,
29/08/2024,Cork University Hospital,25,1,26,24,45,2,
29/08/2024,Mallow General Hospital,,,,,2,,
29/08/2024,Mercy University Hospital,22,4,26,7,10,8,
29/08/2024,South Infirmary Victoria University Hospital,,,,,1,,
29/08/2024,UH Kerry,0,0,0,0,30,,
29/08/2024,HSE South West Total,47,5,52,31,98,10,0
29/08/2024,Ennis Hospital,,,,,2,,
29/08/2024,Nenagh Hospital,,,,,2,,
29/08/2024,St. John's Hospital Limerick,,,,,4,,
29/08/2024,UH Limerick,0,14,14,38,14,,
29/08/2024,HSE Mid West Total,0,14,14,38,22,0,0
29/08/2024,Galway University Hospital,15,0,15,21,36,,
29/08/2024,Letterkenny University Hospital,4,2,6,16,33,2,
29/08/2024,Mayo University Hospital,5,12,17,0,8,6,
29/08/2024,Portiuncula University Hospital,2,0,2,0,4,,
29/08/2024,Roscommon University Hospital,,,,,4,,
29/08/2024,Sligo University Hospital,11,15,26,14,29,8,
29/08/2024,HSE West and North West Total,37,29,66,51,114,16,0
29/08/2024,National Total,220,56,276,287,434,41,1
30/08/2024,Beaumont Hospital,0,0,0,8,17,,
30/08/2024,Cavan General Hospital,1,0,1,3,1,,
30/08/2024,Connolly Hospital,0,0,0,0,6,,
30/08/2024,Louth County Hospital,,,,,0,,
30/08/2024,Mater Misericordiae University Hospital,3,0,3,8,20,,
30/08/2024,National Orthopaedic Hospital Cappagh,,,,,0,,
30/08/2024,Our Lady of Lourdes Hospital,11,0,11,22,0,,
30/08/2024,Our Lady's Hospital Navan,1,0,1,0,0,,
30/08/2024,HSE Dublin and North East Total,16,0,16,41,44,0,0
30/08/2024,CHI at Crumlin,1,,1,,5,,
30/08/2024,CHI at Tallaght,0,0,0,0,0,,
30/08/2024,CHI at Temple Street,7,0,7,4,5,,
30/08/2024,MRH Mullingar,0,0,0,6,1,,
30/08/2024,MRH Portlaoise,1,0,1,0,7,,
30/08/2024,MRH Tullamore,0,0,0,0,8,,
30/08/2024,Naas General Hospital,9,0,9,4,11,1,
30/08/2024,St. James's Hospital,20,0,20,10,22,4,
30/08/2024,St. Luke's Radiation Oncology Network,,,,,0,,
30/08/2024,Tallaght University Hospital,26,1,27,20,15,8,
30/08/2024,HSE Dublin and Midlands Total,64,1,65,44,74,13,0
30/08/2024,National Rehabilitation Hospital,,,,,5,,
30/08/2024,St. Columcille's Hospital,,,,,4,,
30/08/2024,St Luke's General Hospital Kilkenny,0,0,0,0,8,,
30/08/2024,St. Michael's Hospital,,,,,3,,
30/08/2024,St. Vincent's University Hospital,16,0,16,50,20,,
30/08/2024,Tipperary University Hospital,12,0,12,0,19,3,
30/08/2024,UH Waterford,0,0,0,0,14,,
30/08/2024,Wexford General Hospital,3,0,3,15,6,,
30/08/2024,HSE Dublin and South East Total,31,0,31,65,79,3,0
30/08/2024,Bantry General Hospital,,,,,11,,
30/08/2024,Cork University Hospital,0,0,0,12,42,,
30/08/2024,Mallow General Hospital,,,,,3,,
30/08/2024,Mercy University Hospital,7,0,7,7,9,,
30/08/2024,South Infirmary Victoria University Hospital,,,,,1,,
30/08/2024,UH Kerry,0,0,0,0,25,,
30/08/2024,HSE South West Total,7,0,7,19,91,0,0
30/08/2024,Ennis Hospital,,,,,2,,
30/08/2024,Nenagh Hospital,,,,,2,,
30/08/2024,St. John's Hospital Limerick,,,,,4,,
30/08/2024,UH Limerick,0,16,16,34,16,,
30/08/2024,HSE Mid West Total,0,16,16,34,24,0,0
30/08/2024,Galway University Hospital,2,0,2,20,37,,
30/08/2024,Letterkenny University Hospital,2,3,5,3,30,2,2
30/08/2024,Mayo University Hospital,5,11,16,0,9,5,
30/08/2024,Portiuncula University Hospital,4,0,4,1,3,,
30/08/2024,Roscommon University Hospital,,,,,4,,
30/08/2024,Sligo University Hospital,8,13,21,14,29,8,3
30/08/2024,HSE West and North West Total,21,27,48,38,112,15,5
30/08/2024,National Total,139,44,183,241,424,31,5
31/08/2024,Beaumont Hospital,0,0,0,0,17,,
31/08/2024,Cavan General Hospital,0,0,0,0,1,,
31/08/2024,Connolly Hospital,0,0,0,0,6,,
31/08/2024,Louth County Hospital,,,,,0,,
31/08/2024,Mater Misericordiae University Hospital,4,0,4,0,18,,
31/08/2024,National Orthopaedic Hospital Cappagh,,,,,0,,
31/08/2024,Our Lady of Lourdes Hospital,0,0,0,12,0,,
31/08/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
31/08/2024,HSE Dublin and North East Total,4,0,4,12,42,0,0
31/08/2024,CHI at Crumlin,0,0,0,,4,,
31/08/2024,CHI at Tallaght,0,0,0,,0,,
31/08/2024,CHI at Temple Street,2,,2,0,5,,
31/08/2024,MRH Mullingar,1,0,1,2,1,,
31/08/2024,MRH Portlaoise,5,0,5,0,7,,
31/08/2024,MRH Tullamore,0,0,0,0,8,,
31/08/2024,Naas General Hospital,0,0,0,0,9,,
31/08/2024,St. James's Hospital,6,0,6,2,22,1,
31/08/2024,St. Luke's Radiation Oncology Network,,,,,0,,
31/08/2024,Tallaght University Hospital,18,1,19,26,15,7,1
