,Date,Region,Value
400,2023-03-08,HSE South West,1.2827194733018819
401,2023-03-08,HSE West and North West,1.3690479324743434
402,2023-03-09,HSE Dublin and Midlands,1.2620181712057563
403,2023-03-09,HSE Dublin and North East,0.26114455446211804
404,2023-03-09,HSE Dublin and South East,0.720837242159093
405,2023-03-09,HSE Mid West,1.3799481430013631
406,2023-03-09,HSE South West,1.3502310245282967
407,2023-03-09,HSE West and North West,1.158425173632137
408,2023-03-10,HSE Dublin and Midlands,1.1042658998050368
409,2023-03-10,HSE Dublin and North East,0.24429651869036847
410,2023-03-10,HSE Dublin and South East,0.6590511928311706
411,2023-03-10,HSE Mid West,1.1862712106502944
412,2023-03-10,HSE South West,0.8641478556981099
413,2023-03-10,HSE West and North West,1.2242447857703265
414,2023-03-11,HSE Dublin and Midlands,0.8073204477566235
415,2023-03-11,HSE Dublin and North East,0.14320830405987117
416,2023-03-11,HSE Dublin and South East,0.4119069955194816
417,2023-03-11,HSE Mid West,0.605240413597089
418,2023-03-11,HSE South West,0.7696316839811292
419,2023-03-11,HSE West and North West,0.6055404316713443
420,2023-03-12,HSE Dublin and Midlands,0.8351590838861622
421,2023-03-12,HSE Dublin and North East,0.2358725008044937
422,2023-03-12,HSE Dublin and South East,0.6796465426071447
423,2023-03-12,HSE Mid West,1.0168038948431095
424,2023-03-12,HSE South West,0.9856686479056567
425,2023-03-12,HSE West and North West,0.8819828026517404
426,2023-03-13,HSE Dublin and Midlands,1.067147718298985
427,2023-03-13,HSE Dublin and North East,0.43804893006548834
428,2023-03-13,HSE Dublin and South East,0.782623291487015
429,2023-03-13,HSE Mid West,1.3073192933697124
430,2023-03-13,HSE South West,1.1341940606037693
431,2023-03-13,HSE West and North West,1.2769004754808781
432,2023-03-14,HSE Dublin and Midlands,1.280577261958782
433,2023-03-14,HSE Dublin and North East,0.4464729479513631
434,2023-03-14,HSE Dublin and South East,0.6487535179431836
435,2023-03-14,HSE Mid West,1.2589000602819451
436,2023-03-14,HSE South West,1.1882033015849012
437,2023-03-14,HSE West and North West,1.3822118549019815
438,2023-03-15,HSE Dublin and Midlands,1.3362545342178596
439,2023-03-15,HSE Dublin and North East,0.22744848291861894
440,2023-03-15,HSE Dublin and South East,0.762027941711041
441,2023-03-15,HSE Mid West,1.7673020077035
442,2023-03-15,HSE South West,1.0126732683962225
443,2023-03-15,HSE West and North West,1.5533428464612744
444,2023-03-16,HSE Dublin and Midlands,0.872277265392214
445,2023-03-16,HSE Dublin and North East,0.2779925902338676
446,2023-03-16,HSE Dublin and South East,0.4736930448474039
447,2023-03-16,HSE Mid West,1.7915116242473834
448,2023-03-16,HSE South West,0.9451617171698077
449,2023-03-16,HSE West and North West,1.3558840100467058
450,2023-03-17,HSE Dublin and Midlands,0.5846113587203136
451,2023-03-17,HSE Dublin and North East,0.25272053657624327
452,2023-03-17,HSE Dublin and South East,0.18535814798376674
453,2023-03-17,HSE Mid West,0.19367693235106848
454,2023-03-17,HSE South West,0.6211062712830165
455,2023-03-17,HSE West and North West,0.9083106475070164
456,2023-03-18,HSE Dublin and Midlands,0.4546977234491328
457,2023-03-18,HSE Dublin and North East,0.19375241137511984
458,2023-03-18,HSE Dublin and South East,0.45309769507142983
459,2023-03-18,HSE Mid West,0.21788654889495204
460,2023-03-18,HSE South West,0.6076039610377335
461,2023-03-18,HSE West and North West,0.9478024147899301
462,2023-03-19,HSE Dublin and Midlands,0.8165999931331364
463,2023-03-19,HSE Dublin and North East,0.3201126796632415
464,2023-03-19,HSE Dublin and South East,0.6178604932792224
465,2023-03-19,HSE Mid West,0.8231269624920411
466,2023-03-19,HSE South West,0.6616132020188654
467,2023-03-19,HSE West and North West,1.26373655305324
468,2023-03-20,HSE Dublin and Midlands,1.0578681729224721
